Player,Prop Type,Line,Over Odds,Under Odds,Bookmaker,Last Update
Dak Prescott,player_1st_td,0,,,DraftKings,2025-08-30 04:35:24+00:00
Dak Prescott,player_anytime_td,0,,,DraftKings,2025-08-30 04:35:24+00:00
Dak Prescott,player_pass_attempts,36.5,-111,-115,DraftKings,2025-08-30 04:35:24+00:00
Dak Prescott,player_pass_completions,23.5,-101,-126,DraftKings,2025-08-30 04:35:24+00:00
Dak Prescott,player_pass_tds,1.5,129,-165,DraftKings,2025-08-30 04:35:24+00:00
Dak Prescott,player_pass_yds,246.5,-112,-112,DraftKings,2025-08-30 04:35:24+00:00
Dak Prescott,player_rush_yds,7.5,-113,-111,DraftKings,2025-08-30 04:35:24+00:00
Dak Prescott,player_1st_td,0,,,BetMGM,2025-08-30 04:35:32+00:00
Dak Prescott,player_pass_attempts,36.5,-118,-110,BetMGM,2025-08-30 04:35:32+00:00
Dak Prescott,player_pass_completions,23.5,-105,-130,BetMGM,2025-08-30 04:35:32+00:00
Dak Prescott,player_pass_tds,1.5,105,-140,BetMGM,2025-08-30 04:35:32+00:00
Dak Prescott,player_pass_yds,246.5,-115,-115,BetMGM,2025-08-30 04:35:32+00:00
Dak Prescott,player_rush_attempts,1.5,-185,135,BetMGM,2025-08-30 04:35:32+00:00
Dak Prescott,player_rush_yds,6.5,-110,-118,BetMGM,2025-08-30 04:35:32+00:00
Dak Prescott,player_1st_td,0,,,FanDuel,2025-08-30 04:35:41+00:00
Dak Prescott,player_anytime_td,0,,,FanDuel,2025-08-30 04:35:41+00:00
Dak Prescott,player_pass_attempts,36.5,100,-130,FanDuel,2025-08-30 04:35:41+00:00
Dak Prescott,player_pass_completions,23.5,100,-132,FanDuel,2025-08-30 04:35:41+00:00
Dak Prescott,player_pass_tds,1.5,120,-160,FanDuel,2025-08-30 04:35:41+00:00
Dak Prescott,player_pass_yds,243.5,-114,-114,FanDuel,2025-08-30 04:35:41+00:00
Dak Prescott,player_rush_yds,7.5,-114,-114,FanDuel,2025-08-30 04:35:41+00:00
Dak Prescott,player_anytime_td,0,,,Bovada,2025-08-30 04:35:30+00:00
